,team,team_opp,season,date,HomeML,AwayML
0,GSW,NOP,2016,2015-10-27,-710,510
1,CHI,CLE,2016,2015-10-27,-180,160
2,ATL,DET,2016,2015-10-27,-320,255
3,LAL,MIN,2016,2015-10-28,-140,120
4,BOS,PHI,2016,2015-10-28,-1300,800
5,ORL,WAS,2016,2015-10-28,160,-180
6,HOU,DEN,2016,2015-10-28,-710,510
7,DET,UTA,2016,2015-10-28,-115,-105
8,MIL,NYK,2016,2015-10-28,-205,175
9,POR,NOP,2016,2015-10-28,-125,105
10,SAC,LAC,2016,2015-10-28,190,-230
11,TOR,IND,2016,2015-10-28,-235,195
12,MEM,CLE,2016,2015-10-28,-215,185
13,OKC,SAS,2016,2015-10-28,-185,165
14,LAC,DAL,2016,2015-10-29,-950,650
15,IND,MEM,2016,2015-10-29,125,-145
16,NYK,ATL,2016,2015-10-29,165,-185
17,SAC,LAL,2016,2015-10-30,-305,245
18,PHI,UTA,2016,2015-10-30,260,-325
19,BOS,TOR,2016,2015-10-30,-130,110
20,ORL,OKC,2016,2015-10-30,300,-365
21,HOU,GSW,2016,2015-10-30,-105,-115
22,CLE,MIA,2016,2015-10-30,-215,185
23,DET,CHI,2016,2015-10-30,125,-145
24,MIL,WAS,2016,2015-10-30,115,-135
25,DEN,MIN,2016,2015-10-30,-160,140
26,LAC,SAC,2016,2015-10-31,-635,485
27,IND,UTA,2016,2015-10-31,-160,140
28,WAS,NYK,2016,2015-10-31,-320,260
29,NOP,GSW,2016,2015-10-31,200,-235
30,TOR,MIL,2016,2015-11-01,-240,200
31,OKC,DEN,2016,2015-11-01,-1300,800
32,MIA,HOU,2016,2015-11-01,-170,150
33,CHI,ORL,2016,2015-11-01,-365,300
34,LAL,DAL,2016,2015-11-01,160,-180
35,BOS,SAS,2016,2015-11-01,210,-260
36,PHI,CLE,2016,2015-11-02,850,-1450
37,GSW,MEM,2016,2015-11-02,-475,380
38,NYK,SAS,2016,2015-11-02,270,-335
39,HOU,OKC,2016,2015-11-02,160,-180
40,MIN,POR,2016,2015-11-02,-170,150
41,NOP,ORL,2016,2015-11-03,-205,175
42,SAC,MEM,2016,2015-11-03,165,-185
43,DAL,TOR,2016,2015-11-03,115,-135
44,MIA,ATL,2016,2015-11-03,-175,155
45,LAL,DEN,2016,2015-11-03,-150,130
46,DET,IND,2016,2015-11-03,-185,165
47,IND,BOS,2016,2015-11-04,109,-129
48,OKC,TOR,2016,2015-11-04,-380,310
49,WAS,SAS,2016,2015-11-04,155,-175
50,UTA,POR,2016,2015-11-04,-300,240
51,HOU,ORL,2016,2015-11-04,-500,400
